Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-08-06,9.65,9.65,9.65,9.65,100000,0,0
2019-08-07,9.72,9.72,9.65,9.72,153000,0,0
2019-08-08,9.63,9.72,9.6,9.72,7600,0,0
2019-08-09,9.63,9.72,9.6,9.72,7600,0,0
2019-08-12,9.63,9.72,9.6,9.72,7600,0,0
2019-08-13,9.66,9.7,9.66,9.7,5600,0,0
2019-08-14,9.7,9.75,9.7,9.7,2400,0,0
2019-08-15,9.74,9.76,9.74,9.76,1552200,0,0
2019-08-16,9.82,10.01,9.8,9.97,600,0,0
2019-08-19,9.74,10.04,9.74,9.9,31500,0,0
2019-08-20,9.91,9.91,9.89,9.89,2200,0,0
2019-08-21,9.89,9.89,9.89,9.89,0,0,0
2019-08-22,9.89,9.89,9.89,9.89,0,0,0
2019-08-23,9.79,10.04,9.79,10.04,1100,0,0
2019-08-26,10.04,10.04,10.04,10.04,0,0,0
2019-08-27,9.8,10.02,9.74,10.02,9300,0,0
2019-08-28,9.8,9.84,9.77,9.8,28700,0,0
2019-08-29,9.8,9.8,9.8,9.8,0,0,0
2019-08-30,9.81,10.05,9.65,10.03,25600,0,0
2019-09-03,9.89,10.02,9.74,9.9,68000,0,0
2019-09-04,9.9,9.9,9.9,9.9,0,0,0
2019-09-05,9.9,9.9,9.9,9.9,0,0,0
2019-09-06,9.75,9.9,9.75,9.9,1000100,0,0
2019-09-09,9.9,9.9,9.9,9.9,100,0,0
2019-09-10,9.9,9.9,9.9,9.9,0,0,0
2019-09-11,9.83,9.97,9.76,9.78,35600,0,0
2019-09-12,9.78,9.78,9.78,9.78,100,0,0
2019-09-13,9.78,9.78,9.78,9.78,0,0,0
2019-09-16,9.78,9.78,9.78,9.78,100,0,0
2019-09-17,9.78,9.87,9.75,9.75,5200,0,0
2019-09-18,9.78,9.78,9.76,9.76,14500,0,0
2019-09-19,9.76,9.76,9.76,9.76,0,0,0
2019-09-20,9.76,9.76,9.76,9.76,0,0,0
2019-09-23,9.76,9.76,9.76,9.76,0,0,0
2019-09-24,9.8,9.8,9.8,9.8,1000,0,0
2019-09-25,9.8,9.8,9.8,9.8,0,0,0
2019-09-26,9.8,9.8,9.8,9.8,0,0,0
2019-09-27,9.78,9.78,9.78,9.78,100,0,0
2019-09-30,9.8,9.8,9.8,9.8,300,0,0
2019-10-01,9.75,9.87,9.75,9.77,352400,0,0
2019-10-02,9.77,9.77,9.77,9.77,100,0,0
2019-10-03,9.78,9.87,9.75,9.87,2300,0,0
2019-10-04,9.87,9.87,9.87,9.87,0,0,0
2019-10-07,9.8,9.87,9.77,9.77,1100300,0,0
2019-10-08,9.8,9.8,9.8,9.8,100,0,0
2019-10-09,9.8,9.8,9.8,9.8,0,0,0
2019-10-10,9.82,9.9,9.77,9.77,4600,0,0
2019-10-11,9.9,9.9,9.9,9.9,400,0,0
2019-10-14,9.9,9.9,9.9,9.9,0,0,0
2019-10-15,9.9,9.9,9.9,9.9,0,0,0
2019-10-16,9.77,9.9,9.77,9.9,256200,0,0
2019-10-17,9.9,9.9,9.9,9.9,0,0,0
2019-10-18,9.9,9.9,9.9,9.9,0,0,0
2019-10-21,9.78,9.89,9.78,9.89,1100,0,0
2019-10-22,9.89,9.89,9.89,9.89,0,0,0
2019-10-23,9.89,9.89,9.89,9.89,0,0,0
2019-10-24,9.89,9.89,9.89,9.89,0,0,0
2019-10-25,9.89,9.89,9.89,9.89,0,0,0
2019-10-28,9.89,9.89,9.89,9.89,0,0,0
2019-10-29,9.82,9.9,9.82,9.9,750100,0,0
2019-10-30,9.9,9.9,9.9,9.9,0,0,0
2019-10-31,9.9,9.9,9.9,9.9,0,0,0
2019-11-01,9.9,9.9,9.9,9.9,0,0,0
2019-11-04,9.9,9.9,9.9,9.9,0,0,0
2019-11-05,9.9,9.9,9.9,9.9,0,0,0
2019-11-06,9.9,9.9,9.9,9.9,0,0,0
2019-11-07,9.9,9.9,9.9,9.9,0,0,0
2019-11-08,9.9,9.9,9.9,9.9,0,0,0
2019-11-11,9.9,9.9,9.9,9.9,0,0,0
2019-11-12,9.9,9.9,9.9,9.9,0,0,0
2019-11-13,9.9,9.9,9.9,9.9,0,0,0
2019-11-14,9.9,9.9,9.9,9.9,0,0,0
2019-11-15,9.9,9.9,9.9,9.9,0,0,0
2019-11-18,9.9,9.9,9.9,9.9,0,0,0
2019-11-19,9.86,9.9,9.86,9.9,200100,0,0
2019-11-20,9.9,9.9,9.9,9.9,0,0,0
2019-11-21,9.9,9.9,9.9,9.9,0,0,0
2019-11-22,9.87,9.9,9.84,9.88,37200,0,0
2019-11-25,9.9,9.9,9.84,9.88,37900,0,0
2019-11-26,9.76,9.87,9.75,9.75,6200,0,0
2019-11-27,9.87,9.87,9.83,9.84,305900,0,0
2019-11-29,9.87,9.87,9.87,9.87,100,0,0
2019-12-02,9.87,9.87,9.87,9.87,0,0,0
2019-12-03,9.87,9.87,9.87,9.87,100,0,0
2019-12-04,9.83,9.85,9.83,9.85,10100,0,0
2019-12-05,9.85,9.85,9.85,9.85,0,0,0
2019-12-06,9.83,9.85,9.83,9.84,259100,0,0
2019-12-09,9.84,9.84,9.83,9.84,250800,0,0
2019-12-10,9.84,9.84,9.84,9.84,0,0,0
2019-12-11,9.84,9.84,9.84,9.84,0,0,0
2019-12-12,9.85,9.9,9.85,9.85,37400,0,0
2019-12-13,9.84,9.87,9.84,9.87,52600,0,0
2019-12-16,9.87,9.87,9.87,9.87,0,0,0
2019-12-17,9.89,9.89,9.85,9.85,400,0,0
2019-12-18,9.86,9.86,9.86,9.86,1100,0,0
2019-12-19,9.9,9.9,9.85,9.87,1103900,0,0
2019-12-20,9.86,9.87,9.86,9.87,21100,0,0
2019-12-23,9.87,9.87,9.87,9.87,0,0,0
2019-12-24,9.87,9.87,9.87,9.87,0,0,0
2019-12-26,9.9,9.9,9.88,9.89,19400,0,0
2019-12-27,9.87,9.9,9.86,9.86,105700,0,0
2019-12-30,9.87,9.87,9.86,9.86,12800,0,0
2019-12-31,9.86,9.87,9.86,9.87,55000,0,0
2020-01-02,9.87,9.87,9.87,9.87,0,0,0
2020-01-03,9.87,9.95,9.86,9.88,147000,0,0
2020-01-06,9.9,9.9,9.88,9.88,86000,0,0
2020-01-07,9.88,9.88,9.88,9.88,0,0,0
2020-01-08,9.86,9.94,9.86,9.92,26800,0,0
2020-01-09,9.91,10.0,9.91,9.99,3100,0,0
2020-01-10,9.9,9.99,9.9,9.99,400,0,0
2020-01-13,9.9,9.91,9.9,9.91,400,0,0
2020-01-14,9.95,10.0,9.95,9.96,51300,0,0
2020-01-15,9.98,9.98,9.95,9.95,100100,0,0
2020-01-16,9.99,10.0,9.95,10.0,335000,0,0
2020-01-17,10.0,10.0,10.0,10.0,0,0,0
2020-01-21,10.03,10.03,10.02,10.02,1200,0,0
2020-01-22,10.02,10.02,9.99,9.99,1600,0,0
2020-01-23,10.0,10.0,10.0,10.0,29900,0,0
2020-01-24,10.0,10.0,9.99,10.0,166400,0,0
2020-01-27,9.99,9.99,9.99,9.99,125000,0,0
2020-01-28,10.0,10.0,10.0,10.0,9300,0,0
2020-01-29,10.0,10.05,10.0,10.05,225000,0,0
2020-01-30,10.06,10.06,10.06,10.06,10100,0,0
2020-01-31,10.06,10.06,10.06,10.06,0,0,0
2020-02-03,10.05,10.05,10.03,10.03,10300,0,0
2020-02-04,10.05,10.05,10.05,10.05,80000,0,0
2020-02-05,10.05,10.05,10.05,10.05,10000,0,0
2020-02-06,10.01,10.09,10.0,10.06,291800,0,0
2020-02-07,10.05,10.08,10.05,10.08,50100,0,0
2020-02-10,10.08,10.1,10.05,10.08,158500,0,0
2020-02-11,10.09,10.11,10.09,10.09,150000,0,0
2020-02-12,10.09,10.09,10.09,10.09,0,0,0
2020-02-13,10.1,10.1,10.1,10.1,147000,0,0
2020-02-14,10.1,10.1,10.1,10.1,0,0,0
2020-02-18,10.14,10.14,10.14,10.14,24900,0,0
2020-02-19,10.14,10.14,10.14,10.14,0,0,0
2020-02-20,10.14,10.14,10.14,10.14,0,0,0
2020-02-21,10.11,10.11,10.09,10.11,50400,0,0
2020-02-24,10.11,10.11,10.11,10.11,0,0,0
2020-02-25,10.11,10.11,10.11,10.11,0,0,0
2020-02-26,10.1,10.13,10.1,10.13,200200,0,0
2020-02-27,10.07,10.13,10.07,10.13,125200,0,0
2020-02-28,10.13,10.13,10.13,10.13,0,0,0
