Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-01-04,40.7,41.04,40.36,40.38,39.29,1701700,0.0,0
2010-01-05,40.3,40.31,39.72,40.14,39.06,1932400,0.0,0
2010-01-06,40.05,40.78,40.05,40.49,39.4,1406200,0.0,0
2010-01-07,39.55,40.54,39.55,40.48,39.39,1256800,0.0,0
2010-01-08,40.25,40.82,40.11,40.64,39.55,960300,0.0,0
2010-01-11,40.72,40.8,40.09,40.24,39.16,1038400,0.0,0
2010-01-12,39.43,39.72,38.82,39.54,38.48,1910800,0.0,0
2010-01-13,39.5,40.15,39.41,40.09,39.01,810000,0.0,0
2010-01-14,39.94,39.94,39.25,39.56,38.5,1157600,0.0,0
2010-01-15,39.34,39.66,39.17,39.31,38.25,738900,0.0,0
2010-01-19,39.3,39.52,39.05,39.5,38.44,1295000,0.0,0
2010-01-20,38.75,39.38,38.38,39.16,38.11,1865000,0.0,0
2010-01-21,39.34,39.65,38.95,39.23,38.17,1297400,0.0,0
2010-01-22,39.13,40.64,39.13,39.74,38.67,2629300,0.0,0
2010-01-25,40.01,40.6,40.0,40.5,39.41,1396900,0.0,0
2010-01-26,40.48,41.0,40.26,40.55,39.46,1084100,0.0,0
2010-01-27,40.59,40.74,39.95,40.59,39.5,1203200,0.0,0
2010-01-28,40.5,40.5,39.67,39.77,38.7,1206000,0.0,0
2010-01-29,39.99,40.4,39.42,39.45,38.39,948500,0.0,0
2010-02-01,39.55,40.51,39.5,40.49,39.4,1106600,0.0,0
2010-02-02,40.46,41.35,40.46,41.19,40.08,1296200,0.0,0
2010-02-03,41.19,41.38,40.93,41.19,40.08,1147600,0.0,0
2010-02-04,41.06,41.73,40.69,40.93,39.83,1611600,0.0,0
2010-02-05,41.01,41.13,40.02,40.72,39.62,1313200,0.0,0
2010-02-08,41.01,41.74,40.62,40.81,39.71,1721900,0.0,0
2010-02-09,41.15,41.72,40.77,41.57,40.45,1030000,0.0,0
2010-02-10,41.39,42.85,41.37,42.33,41.19,1858600,0.0,0
2010-02-11,42.41,43.1,42.13,42.55,41.41,1548600,0.0,0
2010-02-12,42.37,42.81,42.0,42.81,41.66,1509800,0.0,0
2010-02-16,42.9,42.98,42.37,42.63,41.48,1721200,0.0,0
2010-02-17,42.68,43.08,42.16,42.88,41.73,2253400,0.0,0
2010-02-18,39.88,40.35,39.08,40.15,39.07,7767100,0.0,0
2010-02-19,39.79,40.34,39.51,40.0,38.92,2525300,0.0,0
2010-02-22,39.97,40.46,39.88,40.24,39.16,1706100,0.0,0
2010-02-23,40.18,40.51,40.05,40.22,39.14,1653500,0.0,0
2010-02-24,40.34,40.53,40.15,40.46,39.37,1441500,0.0,0
2010-02-25,40.08,40.9,40.05,40.73,39.63,1328800,0.0,0
2010-02-26,40.73,40.91,40.4,40.8,39.7,1153800,0.0,0
2010-03-01,40.87,41.45,40.65,41.3,40.19,1553400,0.0,0
2010-03-02,41.42,41.71,41.14,41.34,40.23,1221000,0.0,0
2010-03-03,41.35,41.76,41.23,41.49,40.37,1036600,0.0,0
2010-03-04,41.63,42.0,41.6,41.78,40.66,1159700,0.0,0
2010-03-05,41.97,42.29,41.78,42.29,41.15,1914300,0.0,0
2010-03-08,42.33,42.34,41.7,42.1,40.97,3080000,0.0,0
2010-03-09,42.04,42.36,41.79,41.94,40.81,2018700,0.0,0
2010-03-10,41.91,42.28,41.88,42.13,41.0,1692400,0.0,0
2010-03-11,42.14,42.42,41.92,42.38,41.24,1361500,0.0,0
2010-03-12,42.44,42.55,42.04,42.18,41.05,1155000,0.0,0
2010-03-15,42.25,42.29,41.76,42.08,40.95,1806300,0.0,0
2010-03-16,41.87,42.65,41.85,42.3,41.16,843400,0.0,0
2010-03-17,42.47,42.59,42.11,42.35,41.21,1653100,0.0,0
2010-03-18,42.38,42.55,42.06,42.5,41.36,2674100,0.0,0
2010-03-19,43.26,43.27,42.47,43.26,42.1,1915600,0.0,0
2010-03-22,43.17,43.85,43.02,43.64,42.47,1125700,0.0,0
2010-03-23,43.77,44.11,43.66,43.96,42.78,1447500,0.0,0
2010-03-24,43.71,43.9,43.36,43.39,42.28,1290900,0.06,0
2010-03-25,43.61,43.75,43.02,43.02,41.92,1332900,0.0,0
2010-03-26,42.91,43.21,42.03,42.48,41.39,1590400,0.0,0
2010-03-29,42.65,42.65,42.0,42.19,41.11,1278900,0.0,0
2010-03-30,42.17,42.48,42.03,42.23,41.15,715600,0.0,0
2010-03-31,42.22,42.5,41.89,41.92,40.85,1191200,0.0,0
2010-04-01,42.12,42.46,41.97,42.36,41.28,627600,0.0,0
2010-04-05,42.46,42.97,42.42,42.67,41.58,954500,0.0,0
2010-04-06,42.53,42.81,42.42,42.56,41.47,729200,0.0,0
2010-04-07,42.48,42.76,41.94,42.1,41.02,1947000,0.0,0
2010-04-08,41.99,42.49,41.76,42.25,41.17,1365400,0.0,0
2010-04-09,42.34,42.38,41.84,42.13,41.05,1338400,0.0,0
2010-04-12,42.31,42.52,42.09,42.41,41.33,799000,0.0,0
2010-04-13,42.32,42.62,42.09,42.26,41.18,978600,0.0,0
2010-04-14,43.23,45.33,43.19,45.28,44.12,3119800,0.0,0
2010-04-15,45.61,46.34,45.33,45.38,44.22,3249700,0.0,0
2010-04-16,45.12,45.27,44.77,45.04,43.89,1932000,0.0,0
2010-04-19,44.37,44.67,43.69,44.45,43.31,1574800,0.0,0
2010-04-20,44.64,44.86,44.27,44.46,43.32,1169500,0.0,0
2010-04-21,44.52,45.16,43.8,44.97,43.82,1020400,0.0,0
2010-04-22,44.59,45.6,44.41,45.49,44.33,1215100,0.0,0
2010-04-23,45.53,46.17,45.19,46.11,44.93,1066400,0.0,0
2010-04-26,45.92,46.46,45.59,46.32,45.14,1024100,0.0,0
2010-04-27,46.28,46.5,45.11,45.24,44.08,990700,0.0,0
2010-04-28,45.49,45.96,45.14,45.53,44.37,1195400,0.0,0
2010-04-29,46.05,46.88,45.75,45.88,44.71,1879400,0.0,0
2010-04-30,46.02,46.25,44.96,45.1,43.95,1376200,0.0,0
2010-05-03,45.13,46.46,45.09,46.32,45.14,861000,0.0,0
2010-05-04,45.92,45.92,45.31,45.67,44.5,1036800,0.0,0
2010-05-05,45.2,46.49,45.02,45.12,43.97,1366700,0.0,0
2010-05-06,44.87,45.1,42.19,44.2,43.07,1738900,0.0,0
