Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2016-04-26,9.75,9.75,9.75,9.75,5000,0,0,26,2016,4
2016-04-27,9.82,9.82,9.8,9.8,1500,0,0,27,2016,4
2016-04-28,9.9,9.9,9.85,9.85,12100,0,0,28,2016,4
2016-04-29,9.85,9.85,9.85,9.85,0,0,0,29,2016,4
2016-05-02,9.85,9.85,9.85,9.85,0,0,0,02,2016,5
2016-05-03,9.85,9.85,9.85,9.85,0,0,0,03,2016,5
2016-05-04,10.0,10.0,10.0,10.0,100,0,0,04,2016,5
2016-05-05,10.0,10.0,10.0,10.0,0,0,0,05,2016,5
2016-05-06,10.0,10.0,10.0,10.0,0,0,0,06,2016,5
2016-05-09,10.0,10.0,10.0,10.0,0,0,0,09,2016,5
2016-05-10,9.8,9.8,9.8,9.8,1000,0,0,10,2016,5
2016-05-11,9.8,9.8,9.8,9.8,0,0,0,11,2016,5
2016-05-12,9.8,9.8,9.8,9.8,0,0,0,12,2016,5
2016-05-13,9.8,9.8,9.8,9.8,0,0,0,13,2016,5
2016-05-16,9.8,9.8,9.8,9.8,0,0,0,16,2016,5
2016-05-17,9.8,9.8,9.8,9.8,0,0,0,17,2016,5
2016-05-18,9.8,9.8,9.8,9.8,0,0,0,18,2016,5
2016-05-19,9.85,9.85,9.85,9.85,3000,0,0,19,2016,5
2016-05-20,9.85,9.85,9.85,9.85,0,0,0,20,2016,5
2016-05-23,9.8,9.8,9.8,9.8,300,0,0,23,2016,5
2016-05-24,9.8,9.8,9.8,9.8,0,0,0,24,2016,5
2016-05-25,9.8,9.8,9.8,9.8,0,0,0,25,2016,5
2016-05-26,9.88,9.88,9.88,9.88,200,0,0,26,2016,5
2016-05-27,9.88,9.88,9.88,9.88,0,0,0,27,2016,5
2016-05-31,9.9,9.9,9.9,9.9,400,0,0,31,2016,5
2016-06-01,9.9,9.9,9.9,9.9,0,0,0,01,2016,6
2016-06-02,9.84,9.85,9.84,9.85,3900,0,0,02,2016,6
2016-06-03,9.85,9.85,9.85,9.85,0,0,0,03,2016,6
2016-06-06,9.85,9.85,9.85,9.85,0,0,0,06,2016,6
2016-06-07,9.94,9.94,9.94,9.94,300,0,0,07,2016,6
2016-06-08,9.88,9.88,9.86,9.87,2800,0,0,08,2016,6
2016-06-09,9.86,9.86,9.86,9.86,1000,0,0,09,2016,6
2016-06-10,9.86,9.86,9.86,9.86,0,0,0,10,2016,6
2016-06-13,9.86,9.86,9.86,9.86,0,0,0,13,2016,6
2016-06-14,9.86,9.86,9.86,9.86,0,0,0,14,2016,6
2016-06-15,12.0,12.0,9.84,9.95,11900,0,0,15,2016,6
2016-06-16,9.95,9.95,9.95,9.95,0,0,0,16,2016,6
2016-06-17,9.84,9.84,9.84,9.84,2300,0,0,17,2016,6
2016-06-20,9.85,9.86,9.83,9.83,6500,0,0,20,2016,6
2016-06-21,9.83,9.83,9.83,9.83,0,0,0,21,2016,6
2016-06-22,9.83,9.83,9.83,9.83,0,0,0,22,2016,6
2016-06-23,9.83,9.83,9.83,9.83,0,0,0,23,2016,6
2016-06-24,9.85,9.85,9.85,9.85,8600,0,0,24,2016,6
2016-06-27,9.85,9.85,9.85,9.85,0,0,0,27,2016,6
2016-06-28,9.85,9.85,9.85,9.85,4300,0,0,28,2016,6
2016-06-29,9.87,9.87,9.87,9.87,3200,0,0,29,2016,6
2016-06-30,9.87,9.87,9.87,9.87,0,0,0,30,2016,6
2016-07-01,9.87,9.87,9.87,9.87,0,0,0,01,2016,7
2016-07-05,9.87,9.87,9.87,9.87,0,0,0,05,2016,7
2016-07-06,9.87,9.87,9.87,9.87,0,0,0,06,2016,7
2016-07-07,9.87,9.87,9.87,9.87,600,0,0,07,2016,7
2016-07-08,9.88,9.88,9.88,9.88,1000,0,0,08,2016,7
2016-07-11,9.88,9.9,9.88,9.89,2500,0,0,11,2016,7
2016-07-12,9.89,9.89,9.89,9.89,0,0,0,12,2016,7
2016-07-13,9.91,9.91,9.89,9.89,2400,0,0,13,2016,7
2016-07-14,9.89,9.89,9.89,9.89,0,0,0,14,2016,7
2016-07-15,9.92,9.92,9.9,9.9,1000,0,0,15,2016,7
2016-07-18,9.91,9.91,9.88,9.88,3300,0,0,18,2016,7
2016-07-19,9.94,9.94,9.9,9.92,6600,0,0,19,2016,7
2016-07-20,9.92,9.92,9.92,9.92,400,0,0,20,2016,7
2016-07-21,9.99,9.99,9.9,9.9,900,0,0,21,2016,7
2016-07-22,9.96,9.97,9.94,9.97,900,0,0,22,2016,7
2016-07-25,9.92,9.96,9.92,9.96,12600,0,0,25,2016,7
2016-07-26,9.96,9.96,9.96,9.96,0,0,0,26,2016,7
2016-07-27,9.97,9.97,9.97,9.97,1200,0,0,27,2016,7
