Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2017-10-26,9.97,9.97,9.97,9.97,0,0,0,26,2017,10
2017-10-27,27.69,28.37,27.38,28.15,954400,0,0,27,2017,10
2017-10-30,28.07,28.9,27.49,28.04,760500,0,0,30,2017,10
2017-10-31,28.0,29.39,27.68,28.8,436200,0,0,31,2017,10
2017-11-01,29.05,30.98,28.27,30.37,1781300,0,0,01,2017,11
2017-11-02,30.43,30.71,29.94,29.99,204500,0,0,02,2017,11
2017-11-03,30.0,30.12,29.18,29.7,138400,0,0,03,2017,11
2017-11-06,29.76,30.84,29.76,30.07,133500,0,0,06,2017,11
2017-11-07,30.25,30.4,29.96,30.05,170900,0,0,07,2017,11
2017-11-08,30.13,30.42,30.0,30.21,364300,0,0,08,2017,11
2017-11-09,30.2,30.4,29.55,30.21,359600,0,0,09,2017,11
2017-11-10,30.15,30.36,29.93,30.14,231100,0,0,10,2017,11
2017-11-13,30.2,30.34,29.83,29.99,247100,0,0,13,2017,11
2017-11-14,29.99,30.15,29.68,30.12,332700,0,0,14,2017,11
2017-11-15,30.02,30.12,29.9,29.96,256700,0,0,15,2017,11
2017-11-16,30.02,30.41,29.51,30.13,525000,0,0,16,2017,11
2017-11-17,30.04,30.27,29.87,29.98,248800,0,0,17,2017,11
2017-11-20,30.73,30.9,29.69,30.19,308200,0,0,20,2017,11
2017-11-21,30.06,30.28,29.95,30.1,174700,0,0,21,2017,11
2017-11-22,30.11,30.25,29.65,29.98,194100,0,0,22,2017,11
2017-11-24,30.13,30.2,29.7,29.99,240000,0,0,24,2017,11
2017-11-27,30.15,32.18,30.01,31.82,540700,0,0,27,2017,11
2017-11-28,31.92,32.89,30.49,31.53,581400,0,0,28,2017,11
2017-11-29,31.53,32.38,31.53,31.8,401700,0,0,29,2017,11
2017-11-30,31.79,33.0,31.74,32.59,416800,0,0,30,2017,11
2017-12-01,32.61,33.74,31.64,32.84,562900,0,0,01,2017,12
2017-12-04,33.07,33.88,32.59,32.64,266200,0,0,04,2017,12
2017-12-05,32.58,33.59,31.57,32.85,481600,0,0,05,2017,12
2017-12-06,32.61,33.19,32.05,32.58,213900,0,0,06,2017,12
2017-12-07,32.6,33.81,32.52,32.9,232800,0,0,07,2017,12
2017-12-08,33.02,33.28,32.99,33.18,221000,0,0,08,2017,12
2017-12-11,33.25,35.03,33.25,35.0,337900,0,0,11,2017,12
2017-12-12,35.45,35.82,34.86,35.16,319300,0,0,12,2017,12
2017-12-13,35.23,35.57,34.37,34.95,341800,0,0,13,2017,12
2017-12-14,35.06,36.65,35.06,35.58,390600,0,0,14,2017,12
2017-12-15,35.42,36.33,35.24,35.75,2742100,0,0,15,2017,12
2017-12-18,36.29,37.56,35.83,37.42,286300,0,0,18,2017,12
2017-12-19,37.41,37.85,36.94,37.31,232500,0,0,19,2017,12
2017-12-20,37.39,39.22,37.39,38.75,703900,0,0,20,2017,12
2017-12-21,38.76,38.97,37.62,38.5,257700,0,0,21,2017,12
2017-12-22,38.5,39.94,38.25,39.25,572600,0,0,22,2017,12
2017-12-26,39.12,39.85,38.91,39.68,216700,0,0,26,2017,12
2017-12-27,39.71,40.46,39.4,39.69,278400,0,0,27,2017,12
2017-12-28,39.88,40.58,39.64,40.47,255000,0,0,28,2017,12
2017-12-29,40.53,40.76,40.03,40.61,255100,0,0,29,2017,12
2018-01-02,40.55,40.55,39.55,40.27,449700,0,0,02,2018,1
2018-01-03,40.28,40.28,39.24,39.91,371800,0,0,03,2018,1
2018-01-04,39.9,40.04,39.48,39.59,279600,0,0,04,2018,1
2018-01-05,39.5,39.85,38.8,38.9,261900,0,0,05,2018,1
2018-01-08,38.89,39.24,38.05,38.91,250200,0,0,08,2018,1
2018-01-09,39.0,39.0,37.73,37.96,216100,0,0,09,2018,1
2018-01-10,37.91,38.14,36.35,38.07,429300,0,0,10,2018,1
2018-01-11,38.07,40.07,37.85,39.82,148600,0,0,11,2018,1
2018-01-12,40.1,41.36,39.58,40.92,139500,0,0,12,2018,1
2018-01-16,40.93,41.68,40.46,41.2,600800,0,0,16,2018,1
2018-01-17,41.5,41.72,39.04,41.04,462400,0,0,17,2018,1
2018-01-18,41.3,42.5,41.12,42.01,252000,0,0,18,2018,1
2018-01-19,42.14,43.8,42.1,43.13,215700,0,0,19,2018,1
2018-01-22,43.31,43.63,42.3,42.32,131400,0,0,22,2018,1
2018-01-23,42.63,42.63,40.84,40.98,244400,0,0,23,2018,1
2018-01-24,41.23,41.73,39.47,39.59,254000,0,0,24,2018,1
2018-01-25,39.59,39.99,36.78,38.15,266300,0,0,25,2018,1
2018-01-26,38.2,39.74,37.9,38.86,144000,0,0,26,2018,1
2018-01-29,38.87,39.35,38.2,38.35,164700,0,0,29,2018,1
2018-01-30,38.07,38.25,36.85,37.27,182300,0,0,30,2018,1
2018-01-31,37.92,39.5,37.28,39.12,150100,0,0,31,2018,1
2018-02-01,39.0,39.4,37.72,39.34,177900,0,0,01,2018,2
2018-02-02,39.18,39.65,36.8,38.0,187300,0,0,02,2018,2
2018-02-05,37.96,38.94,37.13,38.16,259100,0,0,05,2018,2
2018-02-06,37.74,38.41,36.88,38.08,209900,0,0,06,2018,2
2018-02-07,38.1,38.63,37.61,37.8,147800,0,0,07,2018,2
2018-02-08,37.9,38.13,35.5,35.62,153200,0,0,08,2018,2
2018-02-09,36.16,36.16,33.04,35.79,327000,0,0,09,2018,2
2018-02-12,36.15,36.68,34.55,35.09,234900,0,0,12,2018,2
2018-02-13,35.0,35.96,34.1,34.57,200700,0,0,13,2018,2
2018-02-14,34.33,35.99,34.19,35.3,168400,0,0,14,2018,2
2018-02-15,35.68,36.05,34.95,35.04,191900,0,0,15,2018,2
2018-02-16,35.08,36.04,35.08,35.97,106800,0,0,16,2018,2
2018-02-20,35.98,36.14,35.38,35.88,99400,0,0,20,2018,2
2018-02-21,35.83,36.82,35.47,36.12,205300,0,0,21,2018,2
2018-02-22,36.17,36.4,35.58,35.66,65500,0,0,22,2018,2
2018-02-23,35.77,36.46,35.31,35.51,77800,0,0,23,2018,2
2018-02-26,35.54,35.83,34.52,34.91,123600,0,0,26,2018,2
2018-02-27,34.9,35.51,34.74,34.95,115100,0,0,27,2018,2
2018-02-28,34.96,35.59,34.31,34.56,102200,0,0,28,2018,2
2018-03-01,34.55,34.81,32.62,33.86,149700,0,0,01,2018,3
2018-03-02,33.56,35.94,32.99,35.73,156700,0,0,02,2018,3
2018-03-05,35.57,36.53,35.1,36.43,161900,0,0,05,2018,3
2018-03-06,36.65,36.8,35.27,35.45,204100,0,0,06,2018,3
2018-03-07,35.29,35.44,34.19,34.89,165000,0,0,07,2018,3
2018-03-08,35.66,36.88,33.62,34.19,202500,0,0,08,2018,3
2018-03-09,34.51,34.86,33.48,34.11,148800,0,0,09,2018,3
2018-03-12,33.84,34.59,33.51,34.4,197300,0,0,12,2018,3
2018-03-13,33.6,34.05,32.86,33.8,524500,0,0,13,2018,3
2018-03-14,33.99,34.69,33.22,33.57,608000,0,0,14,2018,3
2018-03-15,33.7,33.8,31.85,32.06,4698200,0,0,15,2018,3
2018-03-16,32.25,32.72,31.5,31.57,1841800,0,0,16,2018,3
2018-03-19,31.5,33.4,31.49,32.58,3134500,0,0,19,2018,3
2018-03-20,32.75,33.46,32.0,33.09,772000,0,0,20,2018,3
2018-03-21,32.83,34.1,32.06,33.61,810100,0,0,21,2018,3
2018-03-22,33.01,33.95,31.86,32.52,876200,0,0,22,2018,3
2018-03-23,32.5,32.5,31.61,31.96,1308900,0,0,23,2018,3
2018-03-26,32.17,32.83,31.77,32.78,527500,0,0,26,2018,3
2018-03-27,32.73,32.96,31.86,32.02,400000,0,0,27,2018,3
2018-03-28,32.0,32.87,31.86,32.4,349200,0,0,28,2018,3
2018-03-29,32.41,33.06,32.06,32.31,220600,0,0,29,2018,3
2018-04-02,32.14,32.62,31.53,31.76,411800,0,0,02,2018,4
2018-04-03,32.04,32.61,31.97,32.36,279500,0,0,03,2018,4
2018-04-04,31.89,33.22,31.85,33.06,360400,0,0,04,2018,4
2018-04-05,33.06,33.25,31.5,33.01,286700,0,0,05,2018,4
2018-04-06,32.92,33.5,32.24,32.49,202400,0,0,06,2018,4
2018-04-09,32.64,33.4,32.41,33.04,437800,0,0,09,2018,4
2018-04-10,33.37,33.41,32.78,33.15,479000,0,0,10,2018,4
2018-04-11,32.92,33.56,32.07,33.17,234800,0,0,11,2018,4
2018-04-12,33.38,33.57,32.65,33.18,173100,0,0,12,2018,4
2018-04-13,33.31,33.31,32.16,32.6,198600,0,0,13,2018,4
