Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2019-11-22,4.12,4.84,3.6,4.48,583700,0,0,22,2019,11
2019-11-25,3.58,4.6,3.57,4.56,149000,0,0,25,2019,11
2019-11-26,4.76,8.41,4.61,6.86,693300,0,0,26,2019,11
2019-11-27,7.11,7.72,5.2,5.6,667100,0,0,27,2019,11
2019-11-29,5.54,5.7,5.2,5.37,142300,0,0,29,2019,11
2019-12-02,5.46,5.67,5.11,5.4,256200,0,0,02,2019,12
2019-12-03,5.35,5.8,5.08,5.65,101000,0,0,03,2019,12
2019-12-04,5.83,6.16,5.5,5.78,238000,0,0,04,2019,12
2019-12-05,5.85,6.82,5.74,6.33,281000,0,0,05,2019,12
2019-12-06,6.41,6.81,6.25,6.67,262800,0,0,06,2019,12
2019-12-09,6.75,6.75,6.1,6.25,124500,0,0,09,2019,12
2019-12-10,6.25,6.55,6.12,6.39,303700,0,0,10,2019,12
2019-12-11,6.39,6.4,6.03,6.15,171700,0,0,11,2019,12
2019-12-12,6.16,6.36,6.01,6.3,71100,0,0,12,2019,12
2019-12-13,6.35,6.35,5.9,6.05,161100,0,0,13,2019,12
2019-12-16,6.05,6.39,6.0,6.15,97200,0,0,16,2019,12
2019-12-17,6.13,6.54,5.86,5.9,166200,0,0,17,2019,12
2019-12-18,5.87,5.9,5.33,5.46,239800,0,0,18,2019,12
2019-12-19,5.5,5.92,5.32,5.6,100400,0,0,19,2019,12
2019-12-20,5.61,5.86,5.51,5.72,171000,0,0,20,2019,12
2019-12-23,5.63,7.25,5.63,6.92,236700,0,0,23,2019,12
2019-12-24,7.0,7.08,6.38,6.7,46200,0,0,24,2019,12
2019-12-26,6.66,7.36,6.43,7.2,132900,0,0,26,2019,12
2019-12-27,7.28,8.28,7.2,7.24,212100,0,0,27,2019,12
2019-12-30,7.25,7.62,6.76,6.98,77700,0,0,30,2019,12
2019-12-31,6.96,7.22,6.9,6.92,62200,0,0,31,2019,12
