Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2018-10-18,5.0,5.69,4.97,5.0,1641500,0,0,18,2018,10
2018-10-19,5.09,5.09,5.0,5.0,215900,0,0,19,2018,10
2018-10-22,5.0,5.13,5.0,5.0,68400,0,0,22,2018,10
2018-10-23,5.0,5.04,5.0,5.0,50800,0,0,23,2018,10
2018-10-24,5.01,5.06,5.0,5.04,54400,0,0,24,2018,10
2018-10-25,5.25,5.25,5.0,5.0,35700,0,0,25,2018,10
2018-10-26,5.0,5.08,4.8,5.0,77400,0,0,26,2018,10
2018-10-29,5.0,5.25,5.0,5.02,194000,0,0,29,2018,10
2018-10-30,5.08,5.39,5.06,5.36,151700,0,0,30,2018,10
2018-10-31,5.3,6.0,5.08,5.1,137500,0,0,31,2018,10
2018-11-01,5.35,5.35,5.0,5.16,108000,0,0,01,2018,11
2018-11-02,5.2,5.27,5.0,5.06,92800,0,0,02,2018,11
2018-11-05,5.08,5.25,5.0,5.09,37200,0,0,05,2018,11
2018-11-06,5.05,5.05,5.0,5.0,12500,0,0,06,2018,11
2018-11-07,5.02,5.11,4.81,5.11,49600,0,0,07,2018,11
2018-11-08,5.01,5.19,5.0,5.01,33500,0,0,08,2018,11
2018-11-09,5.0,5.03,5.0,5.01,30000,0,0,09,2018,11
2018-11-12,5.01,5.19,4.72,4.74,24700,0,0,12,2018,11
2018-11-13,4.81,4.9,4.03,4.09,86700,0,0,13,2018,11
2018-11-14,4.02,4.33,3.41,3.71,62700,0,0,14,2018,11
2018-11-15,3.7,3.85,3.05,3.24,89400,0,0,15,2018,11
2018-11-16,3.18,3.4,2.79,3.15,24600,0,0,16,2018,11
2018-11-19,3.11,3.19,2.83,2.9,50700,0,0,19,2018,11
2018-11-20,2.85,3.02,2.55,2.56,85000,0,0,20,2018,11
2018-11-21,2.6,2.88,2.6,2.74,48400,0,0,21,2018,11
2018-11-23,2.78,3.07,2.76,3.07,7400,0,0,23,2018,11
2018-11-26,3.08,3.24,2.95,3.07,13400,0,0,26,2018,11
2018-11-27,3.01,3.17,2.85,3.0,63600,0,0,27,2018,11
2018-11-28,3.03,3.07,2.88,2.92,61800,0,0,28,2018,11
2018-11-29,2.92,2.95,2.85,2.89,46900,0,0,29,2018,11
2018-11-30,2.85,3.11,2.85,2.85,78200,0,0,30,2018,11
2018-12-03,2.85,3.19,2.76,3.06,77400,0,0,03,2018,12
2018-12-04,3.08,3.28,2.8,3.28,57600,0,0,04,2018,12
2018-12-06,3.28,3.97,3.2,3.88,72000,0,0,06,2018,12
2018-12-07,3.88,4.09,3.7,4.09,26300,0,0,07,2018,12
2018-12-10,4.05,4.05,3.67,3.67,31700,0,0,10,2018,12
2018-12-11,3.74,3.9,3.74,3.86,10000,0,0,11,2018,12
2018-12-12,3.86,4.0,3.86,3.94,7000,0,0,12,2018,12
2018-12-13,3.94,3.94,3.51,3.65,25300,0,0,13,2018,12
2018-12-14,3.66,4.35,3.66,4.12,43300,0,0,14,2018,12
2018-12-17,4.12,4.9,3.72,3.75,37500,0,0,17,2018,12
2018-12-18,3.73,4.34,3.73,4.11,33500,0,0,18,2018,12
2018-12-19,4.08,4.08,3.46,3.46,144300,0,0,19,2018,12
2018-12-20,3.49,3.7,3.32,3.48,44100,0,0,20,2018,12
2018-12-21,3.5,3.62,3.01,3.01,95600,0,0,21,2018,12
2018-12-24,2.88,3.27,2.64,3.2,14500,0,0,24,2018,12
2018-12-26,3.21,3.44,3.21,3.4,25400,0,0,26,2018,12
2018-12-27,3.2,3.29,3.1,3.1,38700,0,0,27,2018,12
2018-12-28,3.14,3.25,3.01,3.05,71300,0,0,28,2018,12
2018-12-31,3.26,3.26,3.01,3.09,85500,0,0,31,2018,12
2019-01-02,3.06,3.27,3.03,3.14,11200,0,0,02,2019,1
2019-01-03,3.13,3.26,3.03,3.12,13800,0,0,03,2019,1
2019-01-04,3.09,3.24,3.09,3.23,16400,0,0,04,2019,1
2019-01-07,3.25,3.97,3.25,3.51,38000,0,0,07,2019,1
